cid	size	cluster
Preference	3	prefer.v, disprefer.v, favor.v
Progression	9	improve.v, progress.v, develop.v, advance.v, mature.v, develop.v, stagnate.v, grow.v, burgeon.v
Adjusting	3	adjust.v, calibrate.v, tweak.v
Theft	22	snatch.v, abscond (with).v, make off (with).v, bag.v, cop.v, thieve.v, abstract.v, rustle.v, pilfer.v, filch.v, snitch.v, pickpocket.v, purloin.v, flog.v, steal.v, pinch.v, lift.v, swipe.v, shoplift.v, misappropriate.v, embezzle.v, nick.v
Cause_to_continue	1	keep.v
Enforcing	1	enforce.v
Becoming_dry	4	exsiccate.v, dehydrate.v, dry.v, dry up.v
Mass_motion	15	shower.v, rain.v, hail.v, troop.v, pour.v, swarm.v, roll.v, teem.v, flood.v, stream.v, crowd.v, flock.v, parade.v, throng.v, pelt.v
Offering	4	serve.v, proffer.v, offer.v, extend.v
Retaining	4	hang on to.v, retain.v, keep.v, hold on to.v
Prevent_or_allow_possession	5	permit.v, deny.v, allow.v, deprive.v, starve.v
Hit_target	3	shoot.v, hit.v, pick off.v
Heralding	1	herald.v
Surrendering	3	turn in.v, give up.v, surrender.v
Commitment	10	undertake.v, vow.v, volunteer.v, threaten.v, consent.v, covenant.v, pledge.v, commit.v, promise.v, swear.v
Emotions_of_mental_activity	6	luxuriate.v, groove.v, delight (in).v, savour.v, enjoy.v, relish.v
Making_arrangements	4	set up.v, organize.v, put together.v, plan.v
Reassuring	1	reassure.v
Coming_to_believe	17	figure out.v, find.v, conclude.v, determine.v, learn.v, speculate.v, gather.v, work out.v, strike.v, puzzle out.v, deduce.v, infer.v, ascertain.v, guess.v, realize.v, see (through).v, surmise.v
Reading_aloud	2	read.v, read out.v
Desirable_event	4	should.v, ought to.v, be supposed to.v, have to.v
Abundance	2	abound.v, teem.v
Being_in_control	6	control.v, dominate.v, rule.v, manipulate.v, manage.v, dominate.v
Launch_process	1	launch.v
Linguistic_meaning	3	mean.v, denote.v, designate.v
Counterattack	1	counter-attack.v
Predicting	8	foretell.v, vaticinate.v, claim.v, predict.v, prognosticate.v, soothsay.v, forecast.v, prophesy.v
Change_posture	25	sprawl out.v, sit up.v, sprawl.v, stoop.v, lean.v, crouch.v, stand.v, squat down.v, sit down.v, drop.v, rise.v, stand up.v, crouch down.v, kneel.v, lie down.v, sit.v, hunch up.v, kneel up.v, lie.v, hunch.v, kneel down.v, slouch.v, huddle.v, squat.v, bend.v
Verification	6	confirm.v, substantiate.v, verify.v, certify.v, make sure.v, identify.v
Sign	18	signify.v, portend.v, indicate.v, usher in.v, forebode.v, herald.v, foretoken.v, bode.v, threaten.v, prefigure.v, augur.v, foreshadow.v, mark.v, betoken.v, promise.v, announce.v, presage.v, foretell.v
Cause_change	33	put over.v, slow.v, modify.v, advance.v, hold up.v, protract.v, defer.v, convert.v, extend.v, prolong.v, transform.v, drag out.v, delay.v, turn.v, vary.v, shorten.v, alter.v, change.v, change.v, reshape.v, abbreviate.v, cut short.v, exchange.v, deform.v, postpone.v, convert.v, move up.v, shift.v, move back.v, reschedule.v, put off.v, make.v, hold over.v
Sound_movement	5	echo.v, resound.v, reverberate.v, roll.v, blast.v
Speak_on_topic	13	go on.v, pontificate.v, expatiate.v, ramble.v, lecture.v, hold forth.v, tell.v, expound.v, discuss.v, address.v, sermonize.v, deal.v, preach.v
Trying_out	5	try.v, test out.v, taste.v, try out.v, try.v
Discussion	16	confer.v, argue.v, talk (to).v, quibble.v, wrangle.v, negotiate.v, quarrel.v, debate.v, row.v, squabble.v, communicate.v, bicker.v, fight.v, discuss.v, parley.v, talk over.v
Detonate_explosive	4	detonate.v, blow.v, blow up.v, explode.v
Self_control	7	restrain.v, (can't) help.v, refrain.v, resist.v, suppress.v, hold back.v, repress.v
Using_resource	2	use.v, spend.v
Bringing	29	drive.v, lug.v, bus.v, smuggle.v, trundle.v, transport.v, convey.v, row.v, wheel.v, carry.v, fetch.v, shuttle.v, get.v, bike.v, paddle.v, fly.v, motor.v, haul.v, schlep.v, bear.v, bring.v, ferry.v, tote.v, cart.v, take.v, truck.v, airlift.v, jet.v, hump.v
Quitting	6	resign.v, retire.v, leave.v, stand down.v, step down.v, quit.v
Occupy_rank	2	stand.v, rank.v
Reforming_a_system	3	reform.v, overhaul.v, restructure.v
Living_conditions	1	live.v
Contrition	2	rue.v, repent.v
Circumscribed_existence	2	appear.v, occur.v
Use_firearm	3	discharge.v, shoot.v, fire.v
Competition	2	play.v, compete.v
