frameName,frame_description,gold_terms,feName,original_term,sentence,match gold
Communication_manner,The words in this frame describe Manners of verbal communication.  All of them can occur with quoted expressions. ,"adam,adele,agne,alcamo,alexei,all,andrew,angel,ann,anne,annie,anyone,aoun,ashton,athelstan,auguste,backbencher,barde,bash,belinda,benjamin,cardiff,caro,carolyn,caspar,charle,charlie,children,christopher,clare,cleopatra,clift,coombe,corbett,cormac,cranston,daak,dadda,daemon,daisy,dameta,damian,danny,de,deputy,dieter,dommer,dougla,duvall,dyson,edward,elaine,eleanor,ell,ellen,elspeth,ember,emily,emmeline,endill,evan,evelyn,everybody,everyone,forster,franci,franco,gabriel,geoffrey,george,georgie,gesner,gilbert,googol,gran,grimm,grégoire,harry,he,hencke,her,herself,hillary,him,hoomey,hope,i,jack,jackson,jamie,jane,jay,jean,jim,jimmy,john,johnny,joseph,juron,karen,karr,keith,kevin,kirsty,laura,leila,lemn,len,lexandro,liam,lily,linley,lorne,lucenzo,lucien,luke,maclean,madeleine,mahmoud,maisie,malcolm,maria,marie-christine,marion,martin,marvin,mary,matilda,matthew,me,meehan,meg,michael,mickeen,micky,mile,miller,millet,mitch,morenz,most,muriella,myeloski,nat,natalia,natalie,neville,nicola,nurse,o'hara,o'neill,olga,one,otley,peggy,people,perdita,peter,philip,pike,polycarp,preacher,quigley,reid,rex,rickie,rob,robert,rodo,roirbak,rory,ros,rutherford,ryker,sabine,santerre,seb,selina,she,sila,silly-willie,socrate,soldier,some,somebody,someone,sophie,student,them,thessy,they,thérèse,tom,tommy,tracy,u,virginia,vlito,waller,we,whitlock,who,william,willie,witcher,women,ybreska,yeb,you,zeno",Speaker: Speaker is the sentient entity that produces a Message or communicates about a Topic. It is expressed as the External Argument of verbs: ,She,<He> accepted the glass and muttered a word of thanks . ,1
Communication_manner,,"adam,adele,agne,alcamo,alexei,all,andrew,angel,ann,anne,annie,anyone,aoun,ashton,athelstan,auguste,backbencher,barde,bash,belinda,benjamin,cardiff,caro,carolyn,caspar,charle,charlie,children,christopher,clare,cleopatra,clift,coombe,corbett,cormac,cranston,daak,dadda,daemon,daisy,dameta,damian,danny,de,deputy,dieter,dommer,dougla,duvall,dyson,edward,elaine,eleanor,ell,ellen,elspeth,ember,emily,emmeline,endill,evan,evelyn,everybody,everyone,forster,franci,franco,gabriel,geoffrey,george,georgie,gesner,gilbert,googol,gran,grimm,grégoire,harry,he,hencke,her,herself,hillary,him,hoomey,hope,i,jack,jackson,jamie,jane,jay,jean,jim,jimmy,john,johnny,joseph,juron,karen,karr,keith,kevin,kirsty,laura,leila,lemn,len,lexandro,liam,lily,linley,lorne,lucenzo,lucien,luke,maclean,madeleine,mahmoud,maisie,malcolm,maria,marie-christine,marion,martin,marvin,mary,matilda,matthew,me,meehan,meg,michael,mickeen,micky,mile,miller,millet,mitch,morenz,most,muriella,myeloski,nat,natalia,natalie,neville,nicola,nurse,o'hara,o'neill,olga,one,otley,peggy,people,perdita,peter,philip,pike,polycarp,preacher,quigley,reid,rex,rickie,rob,robert,rodo,roirbak,rory,ros,rutherford,ryker,sabine,santerre,seb,selina,she,sila,silly-willie,socrate,soldier,some,somebody,someone,sophie,student,them,thessy,they,thérèse,tom,tommy,tracy,u,virginia,vlito,waller,we,whitlock,who,william,willie,witcher,women,ybreska,yeb,you,zeno",,She,<I> accepted the glass and muttered a word of thanks . ,1
Communication_manner,,"adam,adele,agne,alcamo,alexei,all,andrew,angel,ann,anne,annie,anyone,aoun,ashton,athelstan,auguste,backbencher,barde,bash,belinda,benjamin,cardiff,caro,carolyn,caspar,charle,charlie,children,christopher,clare,cleopatra,clift,coombe,corbett,cormac,cranston,daak,dadda,daemon,daisy,dameta,damian,danny,de,deputy,dieter,dommer,dougla,duvall,dyson,edward,elaine,eleanor,ell,ellen,elspeth,ember,emily,emmeline,endill,evan,evelyn,everybody,everyone,forster,franci,franco,gabriel,geoffrey,george,georgie,gesner,gilbert,googol,gran,grimm,grégoire,harry,he,hencke,her,herself,hillary,him,hoomey,hope,i,jack,jackson,jamie,jane,jay,jean,jim,jimmy,john,johnny,joseph,juron,karen,karr,keith,kevin,kirsty,laura,leila,lemn,len,lexandro,liam,lily,linley,lorne,lucenzo,lucien,luke,maclean,madeleine,mahmoud,maisie,malcolm,maria,marie-christine,marion,martin,marvin,mary,matilda,matthew,me,meehan,meg,michael,mickeen,micky,mile,miller,millet,mitch,morenz,most,muriella,myeloski,nat,natalia,natalie,neville,nicola,nurse,o'hara,o'neill,olga,one,otley,peggy,people,perdita,peter,philip,pike,polycarp,preacher,quigley,reid,rex,rickie,rob,robert,rodo,roirbak,rory,ros,rutherford,ryker,sabine,santerre,seb,selina,she,sila,silly-willie,socrate,soldier,some,somebody,someone,sophie,student,them,thessy,they,thérèse,tom,tommy,tracy,u,virginia,vlito,waller,we,whitlock,who,william,willie,witcher,women,ybreska,yeb,you,zeno",,She,<They> accepted the glass and muttered a word of thanks . ,1
Communication_manner,,"adam,adele,agne,alcamo,alexei,all,andrew,angel,ann,anne,annie,anyone,aoun,ashton,athelstan,auguste,backbencher,barde,bash,belinda,benjamin,cardiff,caro,carolyn,caspar,charle,charlie,children,christopher,clare,cleopatra,clift,coombe,corbett,cormac,cranston,daak,dadda,daemon,daisy,dameta,damian,danny,de,deputy,dieter,dommer,dougla,duvall,dyson,edward,elaine,eleanor,ell,ellen,elspeth,ember,emily,emmeline,endill,evan,evelyn,everybody,everyone,forster,franci,franco,gabriel,geoffrey,george,georgie,gesner,gilbert,googol,gran,grimm,grégoire,harry,he,hencke,her,herself,hillary,him,hoomey,hope,i,jack,jackson,jamie,jane,jay,jean,jim,jimmy,john,johnny,joseph,juron,karen,karr,keith,kevin,kirsty,laura,leila,lemn,len,lexandro,liam,lily,linley,lorne,lucenzo,lucien,luke,maclean,madeleine,mahmoud,maisie,malcolm,maria,marie-christine,marion,martin,marvin,mary,matilda,matthew,me,meehan,meg,michael,mickeen,micky,mile,miller,millet,mitch,morenz,most,muriella,myeloski,nat,natalia,natalie,neville,nicola,nurse,o'hara,o'neill,olga,one,otley,peggy,people,perdita,peter,philip,pike,polycarp,preacher,quigley,reid,rex,rickie,rob,robert,rodo,roirbak,rory,ros,rutherford,ryker,sabine,santerre,seb,selina,she,sila,silly-willie,socrate,soldier,some,somebody,someone,sophie,student,them,thessy,they,thérèse,tom,tommy,tracy,u,virginia,vlito,waller,we,whitlock,who,william,willie,witcher,women,ybreska,yeb,you,zeno",,She,<You> accepted the glass and muttered a word of thanks . ,1
Communication_manner,,"adam,adele,agne,alcamo,alexei,all,andrew,angel,ann,anne,annie,anyone,aoun,ashton,athelstan,auguste,backbencher,barde,bash,belinda,benjamin,cardiff,caro,carolyn,caspar,charle,charlie,children,christopher,clare,cleopatra,clift,coombe,corbett,cormac,cranston,daak,dadda,daemon,daisy,dameta,damian,danny,de,deputy,dieter,dommer,dougla,duvall,dyson,edward,elaine,eleanor,ell,ellen,elspeth,ember,emily,emmeline,endill,evan,evelyn,everybody,everyone,forster,franci,franco,gabriel,geoffrey,george,georgie,gesner,gilbert,googol,gran,grimm,grégoire,harry,he,hencke,her,herself,hillary,him,hoomey,hope,i,jack,jackson,jamie,jane,jay,jean,jim,jimmy,john,johnny,joseph,juron,karen,karr,keith,kevin,kirsty,laura,leila,lemn,len,lexandro,liam,lily,linley,lorne,lucenzo,lucien,luke,maclean,madeleine,mahmoud,maisie,malcolm,maria,marie-christine,marion,martin,marvin,mary,matilda,matthew,me,meehan,meg,michael,mickeen,micky,mile,miller,millet,mitch,morenz,most,muriella,myeloski,nat,natalia,natalie,neville,nicola,nurse,o'hara,o'neill,olga,one,otley,peggy,people,perdita,peter,philip,pike,polycarp,preacher,quigley,reid,rex,rickie,rob,robert,rodo,roirbak,rory,ros,rutherford,ryker,sabine,santerre,seb,selina,she,sila,silly-willie,socrate,soldier,some,somebody,someone,sophie,student,them,thessy,they,thérèse,tom,tommy,tracy,u,virginia,vlito,waller,we,whitlock,who,william,willie,witcher,women,ybreska,yeb,you,zeno",,She,<It> accepted the glass and muttered a word of thanks . ,0
Communication_manner,,"adam,adele,agne,alcamo,alexei,all,andrew,angel,ann,anne,annie,anyone,aoun,ashton,athelstan,auguste,backbencher,barde,bash,belinda,benjamin,cardiff,caro,carolyn,caspar,charle,charlie,children,christopher,clare,cleopatra,clift,coombe,corbett,cormac,cranston,daak,dadda,daemon,daisy,dameta,damian,danny,de,deputy,dieter,dommer,dougla,duvall,dyson,edward,elaine,eleanor,ell,ellen,elspeth,ember,emily,emmeline,endill,evan,evelyn,everybody,everyone,forster,franci,franco,gabriel,geoffrey,george,georgie,gesner,gilbert,googol,gran,grimm,grégoire,harry,he,hencke,her,herself,hillary,him,hoomey,hope,i,jack,jackson,jamie,jane,jay,jean,jim,jimmy,john,johnny,joseph,juron,karen,karr,keith,kevin,kirsty,laura,leila,lemn,len,lexandro,liam,lily,linley,lorne,lucenzo,lucien,luke,maclean,madeleine,mahmoud,maisie,malcolm,maria,marie-christine,marion,martin,marvin,mary,matilda,matthew,me,meehan,meg,michael,mickeen,micky,mile,miller,millet,mitch,morenz,most,muriella,myeloski,nat,natalia,natalie,neville,nicola,nurse,o'hara,o'neill,olga,one,otley,peggy,people,perdita,peter,philip,pike,polycarp,preacher,quigley,reid,rex,rickie,rob,robert,rodo,roirbak,rory,ros,rutherford,ryker,sabine,santerre,seb,selina,she,sila,silly-willie,socrate,soldier,some,somebody,someone,sophie,student,them,thessy,they,thérèse,tom,tommy,tracy,u,virginia,vlito,waller,we,whitlock,who,william,willie,witcher,women,ybreska,yeb,you,zeno",,She,<We> accepted the glass and muttered a word of thanks . ,1
Communication_manner,,"adam,adele,agne,alcamo,alexei,all,andrew,angel,ann,anne,annie,anyone,aoun,ashton,athelstan,auguste,backbencher,barde,bash,belinda,benjamin,cardiff,caro,carolyn,caspar,charle,charlie,children,christopher,clare,cleopatra,clift,coombe,corbett,cormac,cranston,daak,dadda,daemon,daisy,dameta,damian,danny,de,deputy,dieter,dommer,dougla,duvall,dyson,edward,elaine,eleanor,ell,ellen,elspeth,ember,emily,emmeline,endill,evan,evelyn,everybody,everyone,forster,franci,franco,gabriel,geoffrey,george,georgie,gesner,gilbert,googol,gran,grimm,grégoire,harry,he,hencke,her,herself,hillary,him,hoomey,hope,i,jack,jackson,jamie,jane,jay,jean,jim,jimmy,john,johnny,joseph,juron,karen,karr,keith,kevin,kirsty,laura,leila,lemn,len,lexandro,liam,lily,linley,lorne,lucenzo,lucien,luke,maclean,madeleine,mahmoud,maisie,malcolm,maria,marie-christine,marion,martin,marvin,mary,matilda,matthew,me,meehan,meg,michael,mickeen,micky,mile,miller,millet,mitch,morenz,most,muriella,myeloski,nat,natalia,natalie,neville,nicola,nurse,o'hara,o'neill,olga,one,otley,peggy,people,perdita,peter,philip,pike,polycarp,preacher,quigley,reid,rex,rickie,rob,robert,rodo,roirbak,rory,ros,rutherford,ryker,sabine,santerre,seb,selina,she,sila,silly-willie,socrate,soldier,some,somebody,someone,sophie,student,them,thessy,they,thérèse,tom,tommy,tracy,u,virginia,vlito,waller,we,whitlock,who,william,willie,witcher,women,ybreska,yeb,you,zeno",,She,<Her> accepted the glass and muttered a word of thanks . ,1
Communication_manner,,"adam,adele,agne,alcamo,alexei,all,andrew,angel,ann,anne,annie,anyone,aoun,ashton,athelstan,auguste,backbencher,barde,bash,belinda,benjamin,cardiff,caro,carolyn,caspar,charle,charlie,children,christopher,clare,cleopatra,clift,coombe,corbett,cormac,cranston,daak,dadda,daemon,daisy,dameta,damian,danny,de,deputy,dieter,dommer,dougla,duvall,dyson,edward,elaine,eleanor,ell,ellen,elspeth,ember,emily,emmeline,endill,evan,evelyn,everybody,everyone,forster,franci,franco,gabriel,geoffrey,george,georgie,gesner,gilbert,googol,gran,grimm,grégoire,harry,he,hencke,her,herself,hillary,him,hoomey,hope,i,jack,jackson,jamie,jane,jay,jean,jim,jimmy,john,johnny,joseph,juron,karen,karr,keith,kevin,kirsty,laura,leila,lemn,len,lexandro,liam,lily,linley,lorne,lucenzo,lucien,luke,maclean,madeleine,mahmoud,maisie,malcolm,maria,marie-christine,marion,martin,marvin,mary,matilda,matthew,me,meehan,meg,michael,mickeen,micky,mile,miller,millet,mitch,morenz,most,muriella,myeloski,nat,natalia,natalie,neville,nicola,nurse,o'hara,o'neill,olga,one,otley,peggy,people,perdita,peter,philip,pike,polycarp,preacher,quigley,reid,rex,rickie,rob,robert,rodo,roirbak,rory,ros,rutherford,ryker,sabine,santerre,seb,selina,she,sila,silly-willie,socrate,soldier,some,somebody,someone,sophie,student,them,thessy,they,thérèse,tom,tommy,tracy,u,virginia,vlito,waller,we,whitlock,who,william,willie,witcher,women,ybreska,yeb,you,zeno",,She,<The> accepted the glass and muttered a word of thanks . ,0
Communication_manner,,"adam,adele,agne,alcamo,alexei,all,andrew,angel,ann,anne,annie,anyone,aoun,ashton,athelstan,auguste,backbencher,barde,bash,belinda,benjamin,cardiff,caro,carolyn,caspar,charle,charlie,children,christopher,clare,cleopatra,clift,coombe,corbett,cormac,cranston,daak,dadda,daemon,daisy,dameta,damian,danny,de,deputy,dieter,dommer,dougla,duvall,dyson,edward,elaine,eleanor,ell,ellen,elspeth,ember,emily,emmeline,endill,evan,evelyn,everybody,everyone,forster,franci,franco,gabriel,geoffrey,george,georgie,gesner,gilbert,googol,gran,grimm,grégoire,harry,he,hencke,her,herself,hillary,him,hoomey,hope,i,jack,jackson,jamie,jane,jay,jean,jim,jimmy,john,johnny,joseph,juron,karen,karr,keith,kevin,kirsty,laura,leila,lemn,len,lexandro,liam,lily,linley,lorne,lucenzo,lucien,luke,maclean,madeleine,mahmoud,maisie,malcolm,maria,marie-christine,marion,martin,marvin,mary,matilda,matthew,me,meehan,meg,michael,mickeen,micky,mile,miller,millet,mitch,morenz,most,muriella,myeloski,nat,natalia,natalie,neville,nicola,nurse,o'hara,o'neill,olga,one,otley,peggy,people,perdita,peter,philip,pike,polycarp,preacher,quigley,reid,rex,rickie,rob,robert,rodo,roirbak,rory,ros,rutherford,ryker,sabine,santerre,seb,selina,she,sila,silly-willie,socrate,soldier,some,somebody,someone,sophie,student,them,thessy,they,thérèse,tom,tommy,tracy,u,virginia,vlito,waller,we,whitlock,who,william,willie,witcher,women,ybreska,yeb,you,zeno",,She,<Someone> accepted the glass and muttered a word of thanks . ,1
Communication_manner,,"adam,adele,agne,alcamo,alexei,all,andrew,angel,ann,anne,annie,anyone,aoun,ashton,athelstan,auguste,backbencher,barde,bash,belinda,benjamin,cardiff,caro,carolyn,caspar,charle,charlie,children,christopher,clare,cleopatra,clift,coombe,corbett,cormac,cranston,daak,dadda,daemon,daisy,dameta,damian,danny,de,deputy,dieter,dommer,dougla,duvall,dyson,edward,elaine,eleanor,ell,ellen,elspeth,ember,emily,emmeline,endill,evan,evelyn,everybody,everyone,forster,franci,franco,gabriel,geoffrey,george,georgie,gesner,gilbert,googol,gran,grimm,grégoire,harry,he,hencke,her,herself,hillary,him,hoomey,hope,i,jack,jackson,jamie,jane,jay,jean,jim,jimmy,john,johnny,joseph,juron,karen,karr,keith,kevin,kirsty,laura,leila,lemn,len,lexandro,liam,lily,linley,lorne,lucenzo,lucien,luke,maclean,madeleine,mahmoud,maisie,malcolm,maria,marie-christine,marion,martin,marvin,mary,matilda,matthew,me,meehan,meg,michael,mickeen,micky,mile,miller,millet,mitch,morenz,most,muriella,myeloski,nat,natalia,natalie,neville,nicola,nurse,o'hara,o'neill,olga,one,otley,peggy,people,perdita,peter,philip,pike,polycarp,preacher,quigley,reid,rex,rickie,rob,robert,rodo,roirbak,rory,ros,rutherford,ryker,sabine,santerre,seb,selina,she,sila,silly-willie,socrate,soldier,some,somebody,someone,sophie,student,them,thessy,they,thérèse,tom,tommy,tracy,u,virginia,vlito,waller,we,whitlock,who,william,willie,witcher,women,ybreska,yeb,you,zeno",,She,<Mary> accepted the glass and muttered a word of thanks . ,1
