frameName	frame_description	gold_terms	original term	sentence	match gold	does not fit context	fit context NOT frame	fit context AND frame
Leadership	These are words referring to control by a Leader over a particular entity  or group (the Governed) or an Activity. The frame contains both nouns referring to a title or position (e.g. director, king, president), and verbs describing the action of leadership (e.g. rule, reign). With verbs, it is possible to mention the Role played by the Leader (often a name of a leading position, e.g., king)	administer,chair,command,govern,head,lead,preside,reign,rule,run,spearhead	presiding	In an attempt to continue funding its advanced welfare state , successive governments had borrowed overseas to finance budget deficits , while also <reigning> over one of the most heavily regulated economies in the capitalist world . 	1			3
Leadership		administer,chair,command,govern,head,lead,preside,reign,rule,run,spearhead	presiding	In an attempt to continue funding its advanced welfare state , successive governments had borrowed overseas to finance budget deficits , while also <overseeing> over one of the most heavily regulated economies in the capitalist world . 	0			3
Leadership		administer,chair,command,govern,head,lead,preside,reign,rule,run,spearhead	presiding	In an attempt to continue funding its advanced welfare state , successive governments had borrowed overseas to finance budget deficits , while also <supervising> over one of the most heavily regulated economies in the capitalist world . 	0			3
Leadership		administer,chair,command,govern,head,lead,preside,reign,rule,run,spearhead	presiding	In an attempt to continue funding its advanced welfare state , successive governments had borrowed overseas to finance budget deficits , while also <ruling> over one of the most heavily regulated economies in the capitalist world . 	1			3
Leadership		administer,chair,command,govern,head,lead,preside,reign,rule,run,spearhead	presiding	In an attempt to continue funding its advanced welfare state , successive governments had borrowed overseas to finance budget deficits , while also <governing> over one of the most heavily regulated economies in the capitalist world . 	1			3
Leadership		administer,chair,command,govern,head,lead,preside,reign,rule,run,spearhead	presiding	In an attempt to continue funding its advanced welfare state , successive governments had borrowed overseas to finance budget deficits , while also <prevailing> over one of the most heavily regulated economies in the capitalist world . 	0	1		
Leadership		administer,chair,command,govern,head,lead,preside,reign,rule,run,spearhead	presiding	In an attempt to continue funding its advanced welfare state , successive governments had borrowed overseas to finance budget deficits , while also <participating> over one of the most heavily regulated economies in the capitalist world . 	0	1		
Leadership		administer,chair,command,govern,head,lead,preside,reign,rule,run,spearhead	presiding	In an attempt to continue funding its advanced welfare state , successive governments had borrowed overseas to finance budget deficits , while also <operating> over one of the most heavily regulated economies in the capitalist world . 	0		2	
Leadership		administer,chair,command,govern,head,lead,preside,reign,rule,run,spearhead	presiding	In an attempt to continue funding its advanced welfare state , successive governments had borrowed overseas to finance budget deficits , while also <administering> over one of the most heavily regulated economies in the capitalist world . 	1			3
Leadership		administer,chair,command,govern,head,lead,preside,reign,rule,run,spearhead	presiding	In an attempt to continue funding its advanced welfare state , successive governments had borrowed overseas to finance budget deficits , while also <insisting> over one of the most heavily regulated economies in the capitalist world . 	0	1		
Placing	Generally without overall (translational) motion,  an Agent places a Theme at a location, the Goal, which is profiled.  In this frame, the Theme is under the control of the Agent/Cause at the time of its arrival at the Goal. 	archive,arrange,bag,bestow,billet,bin,bottle,box,brush,cage,cram,crate,dab,daub,deposit,drape,drizzle,dust,embed,emplace,enclose,file,gag,garage,hang,heap,immerse,implant,inject,insert,jam,lay,lean,load,lodge,pack,package,park,perch,pile,place,plant,plunge,pocket,position,pot,put,rest,rub,set,sheathe,shelve,shoulder,shower,sit,situate,smear,stable,stand,stash,stick,stow,stuff,tuck,warehouse,wrap	draped	Schools and most offices closed ; taxis flew black flags ; shops <hung> black banners from their windows ; convoys of lorries clogged roads towards the Chinese border .	1			3
Placing		archive,arrange,bag,bestow,billet,bin,bottle,box,brush,cage,cram,crate,dab,daub,deposit,drape,drizzle,dust,embed,emplace,enclose,file,gag,garage,hang,heap,immerse,implant,inject,insert,jam,lay,lean,load,lodge,pack,package,park,perch,pile,place,plant,plunge,pocket,position,pot,put,rest,rub,set,sheathe,shelve,shoulder,shower,sit,situate,smear,stable,stand,stash,stick,stow,stuff,tuck,warehouse,wrap	draped	Schools and most offices closed ; taxis flew black flags ; shops <wrapped> black banners from their windows ; convoys of lorries clogged roads towards the Chinese border .	0	1		
Placing		archive,arrange,bag,bestow,billet,bin,bottle,box,brush,cage,cram,crate,dab,daub,deposit,drape,drizzle,dust,embed,emplace,enclose,file,gag,garage,hang,heap,immerse,implant,inject,insert,jam,lay,lean,load,lodge,pack,package,park,perch,pile,place,plant,plunge,pocket,position,pot,put,rest,rub,set,sheathe,shelve,shoulder,shower,sit,situate,smear,stable,stand,stash,stick,stow,stuff,tuck,warehouse,wrap	draped	Schools and most offices closed ; taxis flew black flags ; shops <adorned> black banners from their windows ; convoys of lorries clogged roads towards the Chinese border .	0			3
Placing		archive,arrange,bag,bestow,billet,bin,bottle,box,brush,cage,cram,crate,dab,daub,deposit,drape,drizzle,dust,embed,emplace,enclose,file,gag,garage,hang,heap,immerse,implant,inject,insert,jam,lay,lean,load,lodge,pack,package,park,perch,pile,place,plant,plunge,pocket,position,pot,put,rest,rub,set,sheathe,shelve,shoulder,shower,sit,situate,smear,stable,stand,stash,stick,stow,stuff,tuck,warehouse,wrap	draped	Schools and most offices closed ; taxis flew black flags ; shops <sprayed> black banners from their windows ; convoys of lorries clogged roads towards the Chinese border .	0	1		
Placing		archive,arrange,bag,bestow,billet,bin,bottle,box,brush,cage,cram,crate,dab,daub,deposit,drape,drizzle,dust,embed,emplace,enclose,file,gag,garage,hang,heap,immerse,implant,inject,insert,jam,lay,lean,load,lodge,pack,package,park,perch,pile,place,plant,plunge,pocket,position,pot,put,rest,rub,set,sheathe,shelve,shoulder,shower,sit,situate,smear,stable,stand,stash,stick,stow,stuff,tuck,warehouse,wrap	draped	Schools and most offices closed ; taxis flew black flags ; shops <painted> black banners from their windows ; convoys of lorries clogged roads towards the Chinese border .	0	1		
Placing		archive,arrange,bag,bestow,billet,bin,bottle,box,brush,cage,cram,crate,dab,daub,deposit,drape,drizzle,dust,embed,emplace,enclose,file,gag,garage,hang,heap,immerse,implant,inject,insert,jam,lay,lean,load,lodge,pack,package,park,perch,pile,place,plant,plunge,pocket,position,pot,put,rest,rub,set,sheathe,shelve,shoulder,shower,sit,situate,smear,stable,stand,stash,stick,stow,stuff,tuck,warehouse,wrap	draped	Schools and most offices closed ; taxis flew black flags ; shops <displayed> black banners from their windows ; convoys of lorries clogged roads towards the Chinese border .	0		2	
